Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;UAI potentielle 2;UAI potentielle 3;UAI potentielle 4;UAI potentielle 5;UAI potentielle 6;UAI potentielle 7;UAI potentielle 8;UAI potentielle 9;UAI potentielle 10;UAI potentielle 11;UAI potentielle 12;UAI potentielle 13;UAI potentielle 14;UAI potentielle 15;UAI potentielle 16;UAI potentielle 17;UAI potentielle 18;UAI potentielle 19;UAI potentielle 20;UAI potentielle 21;UAI potentielle 22;UAI potentielle 23;UAI potentielle 24;UAI potentielle 25;UAI potentielle 26;UAI potentielle 27;UAI potentielle 28;UAI potentielle 29;UAI potentielle 30;UAI potentielle 31;UAI potentielle 32;UAI potentielle 33;UAI potentielle 34;UAI potentielle 35;UAI potentielle 36;UAI potentielle 37;UAI potentielle 38;UAI potentielle 39;UAI potentielle 40;UAI potentielle 41;UAI potentielle 42;UAI potentielle 43;UAI potentielle 44;UAI potentielle 45;UAI potentielle 46;UAI potentielle 47;UAI potentielle 48;UAI potentielle 49;UAI potentielle 50;UAI potentielle 51;UAI potentielle 52;UAI potentielle 53;UAI potentielle 54;UAI potentielle 55;UAI potentielle 56;UAI potentielle 57;UAI potentielle 58;UAI potentielle 59;UAI potentielle 60
19590122800013;0594856H;LYCEE POLYVALENT VALENTINE LABBE;;;actif;formateur;41 Rue Paul Doumer 59110 La Madeleine;Lille;Hauts-de-France;Non;;en_hors_murs;2;1;25/01/2022;0594856H;0590122M;0594856H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19210020400010;0211986V;LYCEE POLYVALENT LES MARCS D'OR;;;actif;formateur;24 Rue du Fort de la Motte Giron 21000 Dijon;Dijon;Bourgogne-Franche-Comté;Non;;en_hors_murs;3;1;25/01/2022;0211986V;0211986V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19840042600013;0840042P;LYCEE PROFESSIONNEL ROBERT SCHUMAN;;;actif;formateur;138 Avenue de Tarascon 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;greta;greta;2;1;25/01/2022;0840042P;0840042P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19130049000015;0130049H;LYCEE POLYVALENT DU REMPART;LT;;actif;formateur;1 Rue du rempart 13007 Marseille;Aix-Marseille;Provence-Alpes-Côte d'Azur;Non;;en_hors_murs;2;1;25/01/2022;0130049H;0130049H;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19120025200010;0120025M;LYCEE POLYVALENT JEAN JAURES;;;actif;formateur;Avenue Jean Jaurès 12400 Saint-Affrique;Toulouse;Occitanie;Non;;en_hors_murs;2;1;25/01/2022;0120025M;0120025M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19310050000035;0312759F;LYCEE POLYVALENT JOSEPH GALLIENI;;;actif;formateur;79 Route d'Espagne 31100 Toulouse;Toulouse;Occitanie;Non;;en_hors_murs;2;2;25/01/2022;0312759F;0312759F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19781883400024;0781883Y;LYCEE POLYVALENT DUMONT D'URVILLE;;;actif;formateur;2 Avenue de Franche-comté 78310 Maurepas;Versailles;Île-de-France;Non;;en_hors_murs;2;1;25/01/2022;0781883Y;0781883Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19951727700018;0951727L;LYCEE POLYVALENT CHARLES BAUDELAIRE;;;actif;formateur;13 Rue du Grand Tremblay 95470 Fosses;Versailles;Île-de-France;Non;;en_hors_murs;1;1;25/01/2022;0951727L;0951727L;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19530016500014;0530016E;LYCEE GENERAL ET TECHNOLOGIQUE LAVOISIER;;;actif;inconnue;281 Rue du Pommier 53100 Mayenne;Nantes;Pays de la Loire;Non;greta;greta;;;25/01/2022;0530016E;0530016E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19530004100017;0530004S;LYCEE GENERAL TECHNOLOGIQUE VICTOR HUGO;;;actif;formateur;4 Rue du Général Lemonnier 53200 Château-Gontier-sur-Mayenne;Nantes;Pays de la Loire;Non;greta;greta;1;1;25/01/2022;0530004S;0530004S;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19721301000014;0721301Y;LYCEE PROFESSIONNEL JEAN RONDEAU;;;actif;inconnue;RTE DE RAHAY 72120 SAINT-CALAIS;Nantes;Pays de la Loire;Non;greta;greta;;;25/01/2022;0721301Y;0721301Y;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
