Siret;UAI validée;Raison sociale;Enseigne;numero_declaration_activite;etat_administratif;Nature;Adresse;Académie;Région;Qualiopi;Réseaux;Réseaux à jour;Nombre de relations;Nombre de lieux de formation;Date d'import;UAI probable;UAI potentielle 1;
18383002500015;0383316Y;CHAMBRE COMMERCE ET INDUSTRIE NORD ISERE;;8238P000238;actif;responsable;2 Place Saint Pierre 38200 Vienne;Grenoble;Auvergne-Rhône-Alpes;Oui;;cci;2;;17/12/2021;0383316Y;0383316Y;
18220005500016;0222016X;CHAMBRE DE COMMERCE ET D'INDUSTRIE DES COTES D'ARMOR;;5322P001722;actif;responsable_formateur;16 Rue de Guernesey 22000 Saint-Brieuc;Rennes;Bretagne;Oui;;cci;1;1;17/12/2021;0222016X;0222016X;
81751739400018;0312678T;TOULOUSE BUSINESS SCHOOL - TBS;;76310849231;actif;inconnue;1 Place Alfonse Jourdain 31000 Toulouse;Toulouse;Occitanie;Oui;;cci;;;17/12/2021;0312678T;0310156B;
13002293200334;0292351Y;CHAMBRE DE COMMERCE ET D'INDUSTRIE METROPOLITAINE BRETAGNE OUEST;CCIMBO EMBA;53290897729;actif;formateur;1 Avenue de la Plage des Gueux 29000 Quimper;Rennes;Bretagne;Oui;;cci;2;1;17/12/2021;0292351Y;0291792R;
18180001200021;0180865T;CHAMBRE COMMERCE ET D'INDUSTRIE DU CHER;ENSEIGNEMENT ET FORMATION;2418P000118;actif;responsable;Avenue d'Issoudun 18000 Bourges;Orléans-Tours;Centre-Val de Loire;Oui;cci;cci;3;;17/12/2021;0180865T;0180865T;
44492238900051;0763522R;ADEN FORMATIONS ORGANISATION;;25140183914;actif;formateur;182 Quai George V 76600 Le Havre;Normandie;Normandie;Oui;cci;cci;6;1;17/12/2021;0763522R;0142321X;
13001727000070;0752280W;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;FERRANDI PARIS;11755600275;actif;responsable_formateur;28 Rue de l'Abbé Grégoire 75006 Paris;Paris;Île-de-France;Non;;cci;27;;17/12/2021;0752280W;0752280W;
43953359700019;0811239G;INST INTERC FORMAT ALTER METIERS AUTOMOB;;76810167281;actif;responsable_formateur;8 Chemin de Besse 81000 Albi;Toulouse;Occitanie;Oui;cci;cci;;3;17/12/2021;0811239G;0811239G;
18770918300235;0772321E;CHAMBRE DE COMMERCE ET D'INDUSTRIE;;1177P000677;actif;responsable_formateur;1 Avenue Johannes Gütenberg 77700 Serris;Créteil;Île-de-France;Oui;;cci;5;1;17/12/2021;0772321E;0772321E;
13001727000666;0922710W;CHAMBRE DE COMMERCE ET D INDUSTRIE DE REGION PARIS ILE DE FRANCE;L'EA ECOLES DES ECO-ACTIVITES CAMPUS GENNEVILLIERS;11753201275;actif;responsable_formateur;40 Avenue Marcel Paul 92230 Gennevilliers;Versailles;Île-de-France;Oui;;cci;27;;17/12/2021;0922710W;0922710W;
18840001400018;0840709P;CHAMBRE COMMERCE ET INDUSTRIE VAUCLUSE;;9384P000184;actif;responsable_formateur;46 Cours Jean Jaurès 84000 Avignon;Aix-Marseille;Provence-Alpes-Côte d'Azur;Oui;cci;cci;1;1;17/12/2021;0840709P;0840709P;
13002293200086;0291792R;CHAMBRE DE COMMERCE ET D'INDUSTRIE METROPOLITAINE BRETAGNE OUEST;CCIMBO IFAC - CAMPUS DES METIERS;53290897729;actif;responsable_formateur;465 rue de Kerlaurent 29490 Guipavas;Rennes;Bretagne;Oui;;cci;3;1;17/12/2021;0291792R;0291792R;
18263001200017;0261253W;CHAMBRE COMMERCE INDUSTRIE DE LA DROME;;8226P000126;actif;formateur;74 Rue Barthélémy de Laffemas 26000 Valence;Grenoble;Auvergne-Rhône-Alpes;Oui;;cci;2;1;17/12/2021;0261253W;0261253W;
44492238900044;0611309S;ADEN FORMATIONS ORGANISATION;;25140183914;actif;formateur;CAMPUS DE DAMIGNY 61250 DAMIGNY;Normandie;Normandie;Oui;cci;cci;6;2;17/12/2021;0611309S;0142321X;
30957639500037;0010826T;CTRE CONSULAIRE FORMATION PROFESSION AIN;;82010120901;actif;responsable_formateur;Avenue de la Libération 01500 Ambérieu-en-Bugey;Lyon;Auvergne-Rhône-Alpes;Oui;;cci;1;1;17/12/2021;0010826T;0010826T;
18060001700016;0062204N;CHAMB COMMERC INDUSTRIE NICE COTE D'AZUR;;9306P001706;actif;responsable_formateur;20 Boulevard Carabacel 06000 Nice;Nice;Provence-Alpes-Côte d'Azur;Oui;cci;cci;3;2;17/12/2021;0062204N;0060862E;
